requirement,description,coverage_by,starts_branch,comments
6.1.2,Actions to Address Risks and Opportunities,C,,
6.1.2.a,Actions to Address Risks and Opportunities,S,,
6.1.2.b,Actions to Address Risks and Opportunities,C,,
6.1.2.b.1,Actions to Address Risks and Opportunities,S,,
6.1.2.b.2,Actions to Address Risks and Opportunities,S,,
6.2,Quality Objectives and Planning to Achieve,C,,
6.2.1,Quality Objectives and Planning to Achieve,C,,
6.2.1.a,Quality Objectives and Planning to Achieve,S,,
6.2.1.b,Quality Objectives and Planning to Achieve,S,,
6.2.1.c,Quality Objectives and Planning to Achieve,S,,
6.2.1.d,Quality Objectives and Planning to Achieve,S,,
6.2.1.e,Quality Objectives and Planning to Achieve,S,,
6.2.1.f,Quality Objectives and Planning to Achieve,S,,
6.2.1.g,Quality Objectives and Planning to Achieve,S,,
6.2.2,Quality Objectives and Planning to Achieve,S,,
6.2.2.a,Quality Objectives and Planning to Achieve,P,,
6.2.2.b,Quality Objectives and Planning to Achieve,P,,
6.2.2.c,Quality Objectives and Planning to Achieve,P,,
6.2.2.d,Quality Objectives and Planning to Achieve,P,,
6.2.2.e,Quality Objectives and Planning to Achieve,P,,
6.3,Planning of Changes,C,,
6.3.a,Planning of Changes,S,,
6.3.b,Planning of Changes,S,,
6.3.c,Planning of Changes,S,,
6.3.d,Planning of Changes,S,,
7,Support,C,,
7.1,Resources,C,,
7.1.1,Resources - General,C,,
7.1.1.a,Resources - General,S,,
7.1.1.b,Resources - General,S,,
7.1.2,Resources - People,S,,
7.1.3,Resources - Infrastructure,S,,
7.1.4,Resources - Environment ,S,,
7.1.5,Monitoring and Measuring Resources,C,,
7.1.5.1,Monitoring and Measuring - General,S,,
7.1.5.1.a,Monitoring and Measuring - General,S,,
7.1.5.1.b,Monitoring and Measuring - General,S,,
7.1.5.2,Measurement Traceability,S,,
7.1.5.2.a,Measurement Traceability,S,,
7.1.5.2.b,Measurement Traceability,S,,
7.1.5.2.c,Measurement Traceability,S,,
7.1.6,Organizational Knowledge,S,,
7.2,Competence,C,,
7.2.a,Competence,S,,
7.2.b,Competence,S,,
7.2.c,Competence,S,,
7.2.d,Competence,S,,
7.3,Awareness,C,,
7.3.a,Awareness,S,,
7.3.b,Awareness,S,,
7.3.c,Awareness,S,,
7.3.d,Awareness,S,,
7.3.e,Awareness,S,,
7.3.f,Awareness,S,,
7.3.g,Awareness,S,,
7.3.h,Awareness,S,,
7.4,Communication,C,,
7.4.a,Communication,S,,
7.4.b,Communication,S,,
7.4.c,Communication,S,,
7.4.d,Communication,S,,
7.4.e,Communication,S,,
7.5,Documented Information,S,"Self-coverage to capture shalls at end of 7.5, which are outside child clauses",
7.5.1,Documented Information - General,C,,
7.1.5.a,Documented Information - General,S,,
7.1.5.b,Documented Information - General,S,,
7.5.2,Documented Information - Creating and Updating,C,,
7.5.2.a,Documented Information - Creating and Updating,S,,
7.5.2.b,Documented Information - Creating and Updating,S,,
7.5.2.c,Documented Information - Creating and Updating,S,,
7.5.3,Control of Documented Information,C,,
7.5.3.1,Control of Documented Information,S,,
7.5.3.1.a,Control of Documented Information,P,,
7.5.3.1.b,Control of Documented Information,P,,
7.5.3.2,Control of Documented Information,C,,
7.5.3.2.a,Control of Documented Information,S,,
7.5.3.2.b,Control of Documented Information,S,,
7.5.3.2.c,Control of Documented Information,S,,
7.5.3.2.d,Control of Documented Information,S,,
7.5.3.2.e,Control of Documented Information,S,,
